,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1982-340,Melbourne,Grass,,A,19821228,1,100315,1,,Hank Pfister,R,193,USA,29.22,107495,,,Ken Barton,R,,AUS,,3-6 6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1,1982-340,Melbourne,Grass,,A,19821228,2,100359,,,Richard Lewis,L,,GBR,28.06,100223,,,Jeff Simpson,R,,NZL,32.16,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2,1982-340,Melbourne,Grass,,A,19821228,3,100744,,Q,Peter Doohan,R,190,AUS,21.66,100407,,,Dale Collings,R,,AUS,27.03,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
3,1982-340,Melbourne,Grass,,A,19821228,4,100186,7,,Jeff Borowiak,R,193,USA,33.26,100364,,,Jonathan Smith,R,188,GBR,27.91,6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
4,1982-340,Melbourne,Grass,,A,19821228,5,100474,3,,Chris Lewis Nzl,R,180,NZL,25.80,100440,,,Eddie Edwards,R,190,RSA,26.49,4-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
5,1982-340,Melbourne,Grass,,A,19821228,6,100657,,,Mike Leach,L,180,USA,22.80,100354,,,Bernard Mitton,R,188,RSA,28.13,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
6,1982-340,Melbourne,Grass,,A,19821228,7,100535,,Q,Tony Giammalva,R,190,USA,24.69,100714,,,Broderick Dyke,L,183,AUS,21.99,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
7,1982-340,Melbourne,Grass,,A,19821228,8,100285,6,,Rod Frawley,R,185,AUS,30.30,100495,,,Wayne Hampson,R,183,AUS,25.35,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,174,
8,1982-340,Melbourne,Grass,,A,19821228,9,100559,,Q,Mike Gandolfo,R,,USA,24.24,100713,5,,John Fitzgerald,R,183,AUS,22.00,2-6 7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
9,1982-340,Melbourne,Grass,,A,19821228,10,100699,,,Chris Johnstone,R,175,AUS,22.21,100519,,,Scott Mccain,R,180,USA,24.95,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
10,1982-340,Melbourne,Grass,,A,19821228,11,100343,,,John Lloyd,R,178,GBR,28.34,100923,,,Wally Masur,R,180,AUS,19.63,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
