,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1980-580,Australian Open,Grass,,G,19801226,1,100282,1,,Guillermo Vilas,L,180,ARG,28.36,100430,,,David Carter,R,183,AUS,24.68,7-6 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,4,,145,
1,1980-580,Australian Open,Grass,,G,19801226,2,100210,,,Steve Docherty,R,,AUS,30.64,100326,,,Russell Simpson,R,188,NZL,26.84,4-6 6-3 6-7 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,122,,76,
2,1980-580,Australian Open,Grass,,G,19801226,3,100529,,,Kevin Curren,R,185,USA,22.82,100605,,Q,Charlie Fancutt,R,178,AUS,21.53,6-4 6-3 6-3,5,R64,,,,,,,,,,,,,,,,,,,,,,198,
3,1980-580,Australian Open,Grass,,G,19801226,4,100395,11,,Victor Pecci,R,193,PAR,25.20,100346,,,Paul Kronk,R,,AUS,26.26,7-6 6-7 6-3 5-7 6-4,5,R64,,,,,,,,,,,,,,,,,,,,31,,92,
4,1980-580,Australian Open,Grass,,G,19801226,5,100203,,,Phil Dent,R,183,AUS,30.86,100135,,,Onny Parun,R,188,NZL,33.70,6-7 6-4 2-6 7-6 7-6,5,R64,,,,,,,,,,,,,,,,,,,,40,,100,
5,1980-580,Australian Open,Grass,,G,19801226,6,100515,,,Shlomo Glickstein,R,188,ISR,22.97,100597,,Q,Jay Lapidus,L,188,USA,21.66,6-0 3-6 6-3 6-1,5,R64,,,,,,,,,,,,,,,,,,,,57,,283,
6,1980-580,Australian Open,Grass,,G,19801226,7,100364,,,Jonathan Smith,R,188,GBR,25.91,100451,,,Tony Graham,R,,USA,24.16,7-6 6-7 7-6 6-1,5,R64,,,,,,,,,,,,,,,,,,,,130,,169,
7,1980-580,Australian Open,Grass,,G,19801226,8,100446,6,,John Sadri,R,188,USA,24.27,100382,,Q,Chris Kachel,R,,AUS,25.52,6-3 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,14,,268,
8,1980-580,Australian Open,Grass,,G,19801226,9,100551,,,Brad Drewett,L,185,AUS,22.44,100342,4,,Vitas Gerulaitis,R,183,USA,26.42,2-6 6-4 1-6 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,115,,9,
9,1980-580,Australian Open,Grass,,G,19801226,10,100272,,,Sandy Mayer,R,178,USA,28.73,100655,,,Fritz Buehning,R,196,USA,20.81,6-1 3-6 7-5 4-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,52,,41,
10,1980-580,Australian Open,Grass,,G,19801226,11,100519,,,Scott Mccain,R,180,USA,22.95,100236,,,John James,R,183,AUS,29.81,6-4 6-4 7-5,5,R64,,,,,,,,,,,,,,,,,,,,203,,209,
11,1980-580,Australian Open,Grass,,G,19801226,12,100452,10,,Bill Scanlon,R,185,USA,24.12,100726,,,Greg Whitecross,R,185,AUS,19.78,6-3 3-6 6-3 6-3,5,R64,,,,,,,,,,,,,,,,,,,,26,,193,
12,1980-580,Australian Open,Grass,,G,19801226,13,100273,14,,Kim Warwick,R,183,AUS,28.72,100257,,,Ross Case,R,,AUS,29.15,6-4 6-4 6-1,5,R64,,,,,,,,,,,,,,,,,,,,36,,163,
13,1980-580,Australian Open,Grass,,G,19801226,14,100713,,,John Fitzgerald,R,183,AUS,19.99,100281,,,Sashi Menon,R,180,IND,28.38,6-2 6-4 2-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,,136,,123,
14,1980-580,Australian Open,Grass,,G,19801226,15,100456,,,Ferdi Taygan,R,173,USA,24.06,100298,,,George Hardie,L,,USA,27.85,7-6 7-6 6-1,5,R64,,,,,,,,,,,,,,,,,,,,81,,146,
15,1980-580,Australian Open,Grass,,G,19801226,16,100339,7,,Victor Amaya,L,201,USA,26.49,100244,,,John Alexander,R,190,AUS,29.48,3-6 6-4 7-5 6-3,5,R64,,,,,,,,,,,,,,,,,,,,16,,111,
16,1980-580,Australian Open,Grass,,G,19801226,17,100360,8,,Brian Teacher,R,190,USA,26.01,100689,,,Tim Mayotte,R,190,USA,20.40,7-6 3-6 7-5 7-6,5,R64,,,,,,,,,,,,,,,,,,,,17,,171,
17,1980-580,Australian Open,Grass,,G,19801226,18,100413,,,Ulrich Marten,R,,GER,24.99,100440,,,Eddie Edwards,R,190,RSA,24.48,6-4 7-6 7-5,5,R64,,,,,,,,,,,,,,,,,,,,161,,106,
18,1980-580,Australian Open,Grass,,G,19801226,19,100091,,,Colin Dibley,R,188,AUS,36.27,100315,,,Hank Pfister,R,193,USA,27.21,3-6 6-3 7-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,,95,,75,
19,1980-580,Australian Open,Grass,,G,19801226,20,100492,,,John Austin,R,193,USA,23.41,100676,9,,Yannick Noah,R,193,FRA,20.61,6-3 6-2 6-1,5,R64,,,,,,,,,,,,,,,,,,,,98,,21,
20,1980-580,Australian Open,Grass,,G,19801226,21,100356,12,,Paul Mcnamee,R,178,AUS,26.12,100474,,,Chris Lewis Nzl,R,180,NZL,23.80,7-6 6-3 3-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,,33,,66,
21,1980-580,Australian Open,Grass,,G,19801226,22,100699,,Q,Chris Johnstone,R,175,AUS,20.21,100461,,,Billy Martin,R,178,USA,24.00,6-4 1-6 7-5 6-2,5,R64,,,,,,,,,,,,,,,,,,,,137,,118,
22,1980-580,Australian Open,Grass,,G,19801226,23,100337,,,Mark Edmondson,R,185,AUS,26.51,100173,,,Andrew Pattison,R,188,USA,31.90,7-6 7-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,102,,58,
23,1980-580,Australian Open,Grass,,G,19801226,24,100555,3,,Jose Luis Clerc,R,185,ARG,22.36,100253,,,Tom Gullikson,L,180,USA,29.30,6-3 6-1 3-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,,8,,64,
24,1980-580,Australian Open,Grass,,G,19801226,25,100261,5,,Brian Gottfried,R,183,USA,28.91,100631,,,Tim Wilkison,L,180,USA,21.09,7-5 4-6 6-0 6-2,5,R64,,,,,,,,,,,,,,,,,,,,11,,85,
25,1980-580,Australian Open,Grass,,G,19801226,26,100201,,,Syd Ball,R,188,AUS,30.92,100942,,,Thierry Tulasne,R,178,FRA,17.46,6-0 3-6 2-6 6-0 7-5,5,R64,,,,,,,,,,,,,,,,,,,,146,,113,
26,1980-580,Australian Open,Grass,,G,19801226,27,100182,,Q,Mike Estep,R,173,USA,31.44,100397,,,Terry Rocavert,R,180,AUS,25.18,7-6 6-4 7-5,5,R64,,,,,,,,,,,,,,,,,,,,203,,121,
27,1980-580,Australian Open,Grass,,G,19801226,28,100383,15,,Peter Mcnamara,R,185,AUS,25.48,100259,,,Peter Feigl,R,183,AUT,29.07,7-5 7-6 6-0,5,R64,,,,,,,,,,,,,,,,,,,,39,,77,
28,1980-580,Australian Open,Grass,,G,19801226,29,100600,,,Pascal Portes,R,175,FRA,21.58,100362,13,,Peter Fleming,R,196,USA,25.93,3-6 6-3 6-3 7-6,5,R64,,,,,,,,,,,,,,,,,,,,61,,35,
29,1980-580,Australian Open,Grass,,G,19801226,30,100574,,,Peter Rennert,L,185,USA,22.00,100219,,,Geoff Masters,R,,AUS,30.27,1-6 6-4 7-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,,,,166,
30,1980-580,Australian Open,Grass,,G,19801226,31,100345,,,Pat Dupre,R,190,USA,26.28,107398,,Q,John Trickey,R,,AUS,,6-2 3-6 7-6 4-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,,53,,482,
31,1980-580,Australian Open,Grass,,G,19801226,32,100656,2,,Ivan Lendl,R,188,USA,20.80,100285,,,Rod Frawley,R,185,AUS,28.30,6-3 6-1 6-1,5,R64,,,,,,,,,,,,,,,,,,,,6,,43,
32,1980-580,Australian Open,Grass,,G,19801226,33,100282,1,,Guillermo Vilas,L,180,ARG,28.36,100210,,,Steve Docherty,R,,AUS,30.64,3-6 6-3 6-3 7-6,5,R32,,,,,,,,,,,,,,,,,,,,4,,122,
33,1980-580,Australian Open,Grass,,G,19801226,34,100529,,,Kevin Curren,R,185,USA,22.82,100395,11,,Victor Pecci,R,193,PAR,25.20,6-4 6-2 6-3,5,R32,,,,,,,,,,,,,,,,,,,,,,31,
34,1980-580,Australian Open,Grass,,G,19801226,35,100203,,,Phil Dent,R,183,AUS,30.86,100515,,,Shlomo Glickstein,R,188,ISR,22.97,6-7 7-6 6-3 7-6,5,R32,,,,,,,,,,,,,,,,,,,,40,,57,
35,1980-580,Australian Open,Grass,,G,19801226,36,100446,6,,John Sadri,R,188,USA,24.27,100364,,,Jonathan Smith,R,188,GBR,25.91,7-6 1-6 6-1,5,R32,,,,,,,,,,,,,,,,,,,,14,,130,
36,1980-580,Australian Open,Grass,,G,19801226,37,100551,,,Brad Drewett,L,185,AUS,22.44,100272,,,Sandy Mayer,R,178,USA,28.73,3-6 6-3 6-3 7-6,5,R32,,,,,,,,,,,,,,,,,,,,115,,52,
