,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1976-580,Australian Open,Grass,,G,19751226,1,100016,1,,Ken Rosewall,R,175,AUS,41.15,109888,,,Geoff Brown,R,,AUS,,6-3 6-1 6-4,5,R64,,,,,,,,,,,,,,,,,,,,6,,,
1,1976-580,Australian Open,Grass,,G,19751226,2,100359,,,Richard Lewis,L,,GBR,21.05,107398,,,John Trickey,R,,AUS,,1-6 6-7 7-5 2-1 RET,5,R64,,,,,,,,,,,,,,,,,,,,197,,373,
2,1976-580,Australian Open,Grass,,G,19751226,3,100201,,,Syd Ball,R,188,AUS,25.92,100251,,,Grover Raz Reid,R,,USA,24.33,6-2 7-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,,116,,117,
3,1976-580,Australian Open,Grass,,G,19751226,4,108519,,,William Coghlan,R,,AUS,,100158,,,John Bartlett,R,188,AUS,27.78,3-6 2-6 6-3 6-2 6-4,5,R64,,,,,,,,,,,,,,,,,,,,373,,179,
4,1976-580,Australian Open,Grass,,G,19751226,5,100105,,,Allan Stone,R,,AUS,30.20,100356,,,Paul Mcnamee,R,178,AUS,21.12,7-6 6-0 7-6,5,R64,,,,,,,,,,,,,,,,,,,,38,,,
5,1976-580,Australian Open,Grass,,G,19751226,6,100551,,,Brad Drewett,L,185,AUS,17.44,100056,,,Harald Elschenbroich,R,,GER,34.52,6-1 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,,,86,
6,1976-580,Australian Open,Grass,,G,19751226,7,100343,,,John Lloyd,R,178,GBR,21.33,100047,,,Bob Carmichael,R,183,AUS,35.48,7-5 6-4 4-6 6-1,5,R64,,,,,,,,,,,,,,,,,,,,93,,71,
7,1976-580,Australian Open,Grass,,G,19751226,8,100017,,,Mal Anderson,R,,AUS,40.82,100293,,,John Marks,R,,AUS,23.04,3-6 6-4 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,373,,,
8,1976-580,Australian Open,Grass,,G,19751226,9,100126,,,Stan Smith,R,193,USA,29.03,100265,,,Cliff Letcher,R,,AUS,23.88,7-6 6-2 6-2,5,R64,,,,,,,,,,,,,,,,,,,,21,,162,
9,1976-580,Australian Open,Grass,,G,19751226,10,100236,,,John James,R,183,AUS,24.80,100107,,,Robert Rheinberger,R,,AUS,30.10,6-1 6-1 6-0,5,R64,,,,,,,,,,,,,,,,,,,,135,,182,
10,1976-580,Australian Open,Grass,,G,19751226,11,100090,,,Dick Crealy,R,,AUS,31.27,100364,,,Jonathan Smith,R,188,GBR,20.91,6-4 7-5 7-6,5,R64,,,,,,,,,,,,,,,,,,,,56,,308,
11,1976-580,Australian Open,Grass,,G,19751226,12,108360,,,Teimuraz Kakoulia,R,,RUS,,100442,,,Gianni Marchetti,R,,ITA,19.47,6-4 6-0 4-6 6-7 6-1,5,R64,,,,,,,,,,,,,,,,,,,,112,,308,
12,1976-580,Australian Open,Grass,,G,19751226,13,100203,,,Phil Dent,R,183,AUS,25.86,100326,,,Russell Simpson,R,188,NZL,21.84,6-4 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,33,,183,
13,1976-580,Australian Open,Grass,,G,19751226,14,100337,,,Mark Edmondson,R,185,AUS,21.51,100259,,,Peter Feigl,R,183,AUT,24.07,1-6 6-4 6-7 6-4 6-1,5,R64,,,,,,,,,,,,,,,,,,,,212,,,
14,1976-580,Australian Open,Grass,,G,19751226,15,100162,,,Brian Fairlie,R,,NZL,27.53,100227,,,Alvin Gardiner,R,,AUS,24.87,4-6 6-4 6-1 6-1,5,R64,,,,,,,,,,,,,,,,,,,,66,,150,
15,1976-580,Australian Open,Grass,,G,19751226,16,100003,,,Frank Sedgman,R,,AUS,48.23,108326,,,Steven Wright,R,,AUS,,6-4 6-2 6-3,5,R64,,,,,,,,,,,,,,,,,,,,282,,,
16,1976-580,Australian Open,Grass,,G,19751226,17,100178,,,Bob Giltinan,R,,AUS,26.72,100287,,,Robin Drysdale,R,,GBR,23.27,6-2 3-6 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,87,,205,
17,1976-580,Australian Open,Grass,,G,19751226,18,100114,,,Ray Ruffels,R,,AUS,29.76,106950,,,Enzo Vattuone,R,,ITA,,6-1 6-4 7-5,5,R64,,,,,,,,,,,,,,,,,,,,112,,,
18,1976-580,Australian Open,Grass,,G,19751226,19,100153,,,Patrice Hagelauer,R,188,FRA,27.97,108214,,,Scott Clark,R,,NZL,,4-6 6-1 6-4 6-2,5,R64,,,,,,,,,,,,,,,,,,,,373,,,
19,1976-580,Australian Open,Grass,,G,19751226,20,100219,,,Geoff Masters,R,,AUS,25.27,100224,,,Peter Campbell,R,,AUS,25.13,7-6 6-1 6-2,5,R64,,,,,,,,,,,,,,,,,,,,44,,,
20,1976-580,Australian Open,Grass,,G,19751226,21,100413,,,Ulrich Marten,R,,GER,19.98,100240,,,Joao Soares,R,185,BRA,24.67,7-6 6-1 6-2,5,R64,,,,,,,,,,,,,,,,,,,,199,,238,
21,1976-580,Australian Open,Grass,,G,19751226,22,100273,,,Kim Warwick,R,183,AUS,23.72,100382,,,Chris Kachel,R,,AUS,20.52,6-3 3-6 6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,49,,166,
22,1976-580,Australian Open,Grass,,G,19751226,23,108446,,,Trevor Little,R,,AUS,,100383,,,Peter Mcnamara,R,185,AUS,20.48,6-1 6-1 6-4,5,R64,,,,,,,,,,,,,,,,,,,,,,205,
23,1976-580,Australian Open,Grass,,G,19751226,24,100100,,,Tony Roche,L,178,AUS,30.61,100444,,,Werner Zirngibl,R,,GER,19.31,6-3 6-1 6-2,5,R64,,,,,,,,,,,,,,,,,,,,12,,238,
24,1976-580,Australian Open,Grass,,G,19751226,25,108525,,,William Durham,R,,AUS,,100334,,,Ernie Ewert,R,,AUS,21.56,6-3 7-5 3-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,,373,,212,
