,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,1,104226,1,,Bastian Knittel,L,,GER,30.41,131867,,WC,Dominik Boehler,R,,GER,17.88,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,270,169,,
1,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,2,103623,,,Jacob Adaktusson,R,,SWE,33.35,105136,,Q,Andrei Plotniy,U,,RUS,25.75,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,,690,33,887,16
2,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,3,106374,,,Filip Veger,R,,CRO,19.04,106214,,,Oscar Otte,R,,GER,20.48,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,,598,47,639,40
3,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,4,103967,7,,Michael Lammer,R,185,SUI,31.79,109739,,WC,Maximilian Marterer,L,,GER,18.56,4-6 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,452,83,894,15
4,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,5,105161,3,,Yann Marti,R,173,SUI,25.58,122352,,Q,Christoph Negritu,R,,GER,19.80,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,325,136,2090,1
5,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,6,120424,,,Yannick Maden,U,,GER,24.19,109054,,Q,Daniel Masur,R,,GER,19.57,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,705,31,1084,8
6,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,7,105714,,,Hugo Nys,R,,MON,22.89,121671,,WC,Dominique Denis Maden,U,,GER,22.37,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,508,68,,
7,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,8,105091,6,,Peter Torebko,R,,GER,25.91,105101,,,Blazej Koniusz,R,,POL,25.87,6-7(3) 6-4 7-6(2),3,R32,,,,,,,,,,,,,,,,,,,,445,86,524,64
8,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,9,105004,8,,Dimitar Kutrovsky,R,,BUL,26.36,106154,,,Duje Kekez,R,,CRO,20.77,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,483,74,578,52
9,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,10,104802,,,Fabrice Martin,R,,FRA,27.32,144638,,Q,Dmytro Badanov,U,,UKR,25.97,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,538,61,1364,3
10,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,11,105824,,Q,Kirill Dmitriev,U,,RUS,22.41,117354,,Q,Hannes Wagner,R,,GER,18.20,6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,,882,16,1481,2
11,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,12,105472,4,,Nils Langer,R,,GER,23.95,105818,,Q,Daniel Uhlig,U,,GER,22.44,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,364,115,1008,11
12,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,13,105906,5,,Kevin Krawietz,R,190,GER,21.95,105399,,,Andriej Kapas,R,,POL,24.41,3-6 7-6(4) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,416,95,679,35
13,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,14,106033,,,Romain Arneodo,R,,FRA,21.42,106008,,WC,Florian Fallert,R,,GER,21.62,6-4 6-7(5) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,540,60,918,14
14,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,15,105617,,Q,Andreas Mies,U,,GER,23.38,105786,,,Tom Schonenberg,R,,GER,22.56,7-5 6-7(2) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,985,11,686,34
15,2014-M-FU-GER-01A-2014,Germany F1,Carpet,,S,20140106,16,106096,,,Tim Nekic,L,,GER,21.08,105836,2,,Jules Marie,R,,FRA,22.35,6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,,571,53,292,153
