,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1982-393,Adelaide-2,Grass,,A,19820104,1,100337,1,,Mark Edmondson,R,185,AUS,27.53,100495,,,Wayne Hampson,R,183,AUS,24.37,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,174,
1,1982-393,Adelaide-2,Grass,,A,19820104,2,101138,,,Pat Cash,R,183,AUS,16.61,100726,,,Greg Whitecross,R,185,AUS,20.81,6-7 6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,161,
2,1982-393,Adelaide-2,Grass,,A,19820104,3,100489,,,Larry Stefanki,R,178,USA,24.45,100570,,,Marty Davis,R,183,USA,23.14,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,,,,,
3,1982-393,Adelaide-2,Grass,,A,19820104,4,100565,,,Lloyd Bourne,R,190,USA,23.21,100713,5,,John Fitzgerald,R,183,AUS,21.02,6-2 6-7 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
4,1982-393,Adelaide-2,Grass,,A,19820104,5,100689,4,,Tim Mayotte,R,190,USA,21.42,100301,,,Jim Delaney,R,,USA,28.82,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
5,1982-393,Adelaide-2,Grass,,A,19820104,6,100537,,Q,Mike Brunnberg,R,190,USA,23.67,100407,,,Dale Collings,R,,AUS,26.05,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
6,1982-393,Adelaide-2,Grass,,A,19820104,7,100359,,,Richard Lewis,L,,GBR,27.08,100364,,,Jonathan Smith,R,188,GBR,26.93,6-7 6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,,,,,
7,1982-393,Adelaide-2,Grass,,A,19820104,8,100243,7,,Steve Krulevitz,R,175,USA,30.60,100201,,,Syd Ball,R,188,AUS,31.95,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
8,1982-393,Adelaide-2,Grass,,A,19820104,9,100236,,Q,John James,R,183,AUS,30.83,100631,6,,Tim Wilkison,L,180,USA,22.12,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,,,,,
9,1982-393,Adelaide-2,Grass,,A,19820104,10,100550,,,Brad Guan,R,,AUS,23.49,100592,,,Robert Vant Hof,R,193,USA,22.74,6-4 5-7 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
10,1982-393,Adelaide-2,Grass,,A,19820104,11,100430,,,David Carter,R,183,AUS,25.71,100573,,,Ron Hightower,R,185,USA,23.06,4-6 7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,174,
11,1982-393,Adelaide-2,Grass,,A,19820104,12,100575,,Q,Andy Andrews,R,185,USA,23.01,100474,3,,Chris Lewis Nzl,R,180,NZL,24.82,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,,,,,
12,1982-393,Adelaide-2,Grass,,A,19820104,13,100285,8,,Rod Frawley,R,185,AUS,29.32,100440,,,Eddie Edwards,R,190,RSA,25.51,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
13,1982-393,Adelaide-2,Grass,,A,19820104,14,100522,,,Chris Dunk,R,193,USA,23.95,100699,,,Chris Johnstone,R,175,AUS,21.23,3-6 7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,129,,,
14,1982-393,Adelaide-2,Grass,,A,19820104,15,100714,,Q,Broderick Dyke,L,183,AUS,21.01,100534,,,Steve Meister,R,193,USA,23.71,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
15,1982-393,Adelaide-2,Grass,,A,19820104,16,100273,2,,Kim Warwick,R,183,AUS,29.74,100749,,,Dave Siegler,R,,USA,20.60,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
16,1982-393,Adelaide-2,Grass,,A,19820104,17,101138,,,Pat Cash,R,183,AUS,16.61,100337,1,,Mark Edmondson,R,185,AUS,27.53,7-5 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
17,1982-393,Adelaide-2,Grass,,A,19820104,18,100565,,,Lloyd Bourne,R,190,USA,23.21,100489,,,Larry Stefanki,R,178,USA,24.45,6-7 6-4 6-1,3,R16,,,,,,,,,,,,,,,,,,,,,,,
18,1982-393,Adelaide-2,Grass,,A,19820104,19,100689,4,,Tim Mayotte,R,190,USA,21.42,100537,,Q,Mike Brunnberg,R,190,USA,23.67,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
19,1982-393,Adelaide-2,Grass,,A,19820104,20,100243,7,,Steve Krulevitz,R,175,USA,30.60,100359,,,Richard Lewis,L,,GBR,27.08,6-7 7-5 7-6,3,R16,,,,,,,,,,,,,,,,,,,,,,,
20,1982-393,Adelaide-2,Grass,,A,19820104,21,100236,,Q,John James,R,183,AUS,30.83,100550,,,Brad Guan,R,,AUS,23.49,6-4 4-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
