,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1986-D008,Davis Cup WG F: AUS vs SWE,Grass,,D,19861226,1,101138,,,Pat Cash,R,183,AUS,21.58,101222,,,Stefan Edberg,R,188,SWE,20.93,13-11 13-11 6-4,5,RR,,,,,,,,,,,,,,,,,,,,24,,5,
1,1986-D008,Davis Cup WG F: AUS vs SWE,Grass,,D,19861226,2,100944,,,Mikael Pernfors,R,173,SWE,23.45,100356,,,Paul Mcnamee,R,178,AUS,32.12,6-3 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,,11,,45,
2,1986-D008,Davis Cup WG F: AUS vs SWE,Grass,,D,19861226,4,101138,,,Pat Cash,R,183,AUS,21.58,100944,,,Mikael Pernfors,R,173,SWE,23.45,2-6 4-6 6-3 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,,24,,11,
3,1986-D008,Davis Cup WG F: AUS vs SWE,Grass,,D,19861226,5,101222,,,Stefan Edberg,R,188,SWE,20.93,100356,,,Paul Mcnamee,R,178,AUS,32.12,10-8 6-4,3,RR,,,,,,,,,,,,,,,,,,,,5,,45,
4,1987-339,Adelaide,Grass,,A,19861230,1,100752,1,,Ramesh Krishnan,R,170,IND,25.57,101256,,,Mark Kratzmann,L,178,AUS,20.62,4-6 6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,35,,142,
5,1987-339,Adelaide,Grass,,A,19861230,2,101226,,,Johan Carlsson,R,183,SWE,20.92,101190,,,Darren Cahill,R,185,AUS,21.24,6-7 7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,107,,137,
6,1987-339,Adelaide,Grass,,A,19861230,3,101144,,WC,Anthony Lane,R,183,AUS,21.58,101242,,,Brad Pearce,R,175,USA,20.78,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,266,,92,
7,1987-339,Adelaide,Grass,,A,19861230,4,100553,8,,Nduka Odizor,R,183,NGR,28.39,101057,,WC,Peter Carter,R,180,AUS,22.39,2-6 6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,75,,256,
8,1987-339,Adelaide,Grass,,A,19861230,5,100790,,LL,Bruce Derlin,L,180,NZL,25.09,101650,,Q,Shane Barr,R,193,AUS,17.19,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,167,,405,
9,1987-339,Adelaide,Grass,,A,19861230,6,100452,,,Bill Scanlon,R,185,USA,30.13,101318,,,Javier Frana,L,185,ARG,20.01,4-6 6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,85,,143,
