,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,1,103204,1,,Hugo Armando,R,183,USA,21.60,102283,,WC,Yari Bernardo,R,,ITA,26.14,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,269,136,,
1,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,2,103363,,,Diego Ayala,R,175,USA,20.68,103437,,Q,Francesco Piccari,R,,ITA,20.32,7-5 4-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,749,17,1075,4
2,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,3,103405,,,Rodolfo Rake,R,,PER,20.47,103262,,,Marc Canovas,R,,ESP,21.30,7-6(3) 6-0,3,R32,,,,,,,,,,,,,,,,,,,,473,57,711,19
3,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,4,102544,,Q,Pablo Bianchi,R,,URU,24.84,103525,8,,Ivan Miranda,R,175,PER,19.82,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,,847,11,810,13
4,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,5,103399,3,,Carlos Rexach Itoiz,U,,ESP,20.50,101840,,,Jacobo Chavez,R,,GUA,28.97,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,,1151,4,,
5,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,6,110478,,,Ferran Ventura Martell,R,,ESP,21.66,108812,,WC,Jose Baires,U,,ESA,20.07,6-0 6-3,3,R32,,,,,,,,,,,,,,,,,,,,1037,5,,
6,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,7,103334,,,Ronaldo Carvalho,R,,BRA,20.84,122848,,Q,Mario Santos Ramirez,U,,ESA,20.90,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,998,6,,
7,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,8,102565,5,,Alexander Waske,R,188,GER,24.76,100754,,,Rafael Avalos Brenes,R,,CRC,38.53,7-6(6) 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,,440,60,,
8,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,9,101389,6,,Oren Motevassel,L,170,USA,32.35,117976,,WC,Christian Kawas,U,,HON,21.95,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,,346,97,,
9,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,10,102188,,,David Critchley,R,,CAN,26.78,103125,,Q,Joan Jimenez Guerra,R,,AND,21.94,6-4 6-7(5) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,1072,5,520,47
10,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,11,102985,,Q,Gustavo Marcaccio,R,,ARG,22.66,103023,,,Dominic Boulet,R,,CAN,22.47,4-6 6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,756,16,1231,2
11,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,12,103754,4,,Mark Hilton,L,170,GBR,18.70,108651,,Q,Sandor Martinez Breijo,R,,CUB,18.78,7-5 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,616,29,,
12,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,13,102320,7,,Lazaro Navarro Batles,R,,CUB,25.92,103866,,,Luiz Carvalho,R,188,BRA,18.20,6-2 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,471,56,1075,4
13,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,14,102876,,,Gwenael Gueit,R,,FRA,23.17,101825,,WC,Manuel Tejada,R,,ESA,29.10,7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
14,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,15,103844,,Q,Igor Fejzula,U,,SRB,18.31,103945,,,Simon Dickson,R,,GBR,17.85,6-4 1-6 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,,,817,11
15,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,16,103530,2,,Zack Fleishman,R,188,USA,19.79,103657,,Q,Ivo Klec,R,183,SVK,19.09,6-0 6-4,3,R32,,,,,,,,,,,,,,,,,,,,569,37,1155,3
16,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,17,103204,1,,Hugo Armando,R,183,USA,21.60,103363,,,Diego Ayala,R,175,USA,20.68,4-6 6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,,269,136,749,17
17,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,18,102544,,Q,Pablo Bianchi,R,,URU,24.84,103405,,,Rodolfo Rake,R,,PER,20.47,7-5 6-4,3,R16,,,,,,,,,,,,,,,,,,,,847,11,473,57
18,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,19,110478,,,Ferran Ventura Martell,R,,ESP,21.66,103399,3,,Carlos Rexach Itoiz,U,,ESP,20.50,7-5 6-1,3,R16,,,,,,,,,,,,,,,,,,,,1037,5,1151,4
19,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,20,102565,5,,Alexander Waske,R,188,GER,24.76,103334,,,Ronaldo Carvalho,R,,BRA,20.84,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,,440,60,998,6
20,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,21,101389,6,,Oren Motevassel,L,170,USA,32.35,102188,,,David Critchley,R,,CAN,26.78,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,,346,97,1072,5
21,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,22,103754,4,,Mark Hilton,L,170,GBR,18.70,102985,,Q,Gustavo Marcaccio,R,,ARG,22.66,4-6 6-2 7-5,3,R16,,,,,,,,,,,,,,,,,,,,616,29,756,16
22,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,23,102320,7,,Lazaro Navarro Batles,R,,CUB,25.92,102876,,,Gwenael Gueit,R,,FRA,23.17,7-5 1-6 7-6(1),3,R16,,,,,,,,,,,,,,,,,,,,471,56,,
23,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,24,103530,2,,Zack Fleishman,R,188,USA,19.79,103844,,Q,Igor Fejzula,U,,SRB,18.31,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,,569,37,,
24,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,25,102544,,Q,Pablo Bianchi,R,,URU,24.84,103204,1,,Hugo Armando,R,183,USA,21.60,7-6(4) 6-1,3,QF,,,,,,,,,,,,,,,,,,,,847,11,269,136
25,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,26,102565,5,,Alexander Waske,R,188,GER,24.76,110478,,,Ferran Ventura Martell,R,,ESP,21.66,6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,,440,60,1037,5
26,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,27,101389,6,,Oren Motevassel,L,170,USA,32.35,103754,4,,Mark Hilton,L,170,GBR,18.70,6-4 6-3,3,QF,,,,,,,,,,,,,,,,,,,,346,97,616,29
27,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,28,103530,2,,Zack Fleishman,R,188,USA,19.79,102320,7,,Lazaro Navarro Batles,R,,CUB,25.92,7-6(7) 6-2,3,QF,,,,,,,,,,,,,,,,,,,,569,37,471,56
28,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,29,102544,,Q,Pablo Bianchi,R,,URU,24.84,102565,5,,Alexander Waske,R,188,GER,24.76,7-6(4) 7-6(4),3,SF,,,,,,,,,,,,,,,,,,,,847,11,440,60
29,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,30,103530,2,,Zack Fleishman,R,188,USA,19.79,101389,6,,Oren Motevassel,L,170,USA,32.35,6-4 3-6 6-3,3,SF,,,,,,,,,,,,,,,,,,,,569,37,346,97
30,2000-M-SA-PAN-01A-2000a,Central America Masters 1,Clay,,S,20000101,31,103530,2,,Zack Fleishman,R,188,USA,19.79,102544,,Q,Pablo Bianchi,R,,URU,24.84,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,569,37,847,11
31,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,1,101840,,,Jacobo Chavez,R,,GUA,28.97,103844,,,Igor Fejzula,U,,SRB,18.31,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,,,,,
32,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,2,103363,,,Diego Ayala,R,175,USA,20.68,103405,,,Rodolfo Rake,R,,PER,20.47,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,749,17,473,57
33,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,3,103334,,,Ronaldo Carvalho,R,,BRA,20.84,110478,,,Ferran Ventura Martell,R,,ESP,21.66,7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,,998,6,1037,5
34,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,4,102985,,,Gustavo Marcaccio,R,,ARG,22.66,103945,,,Simon Dickson,R,,GBR,17.85,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,756,16,817,11
35,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,5,103866,,,Luiz Carvalho,R,188,BRA,18.20,103023,,,Dominic Boulet,R,,CAN,22.47,7-6(6) 0-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,,1075,4,1231,2
36,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,6,103525,,,Ivan Miranda,R,175,PER,19.82,108812,,,Jose Baires,U,,ESA,20.07,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,,810,13,,
37,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,7,100754,,,Rafael Avalos Brenes,R,,CRC,38.53,102876,,,Gwenael Gueit,R,,FRA,23.17,6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
38,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,8,103262,,,Marc Canovas,R,,ESP,21.30,102188,,,David Critchley,R,,CAN,26.78,3-6 6-2 6-1,3,R32,,,,,,,,,,,,,,,,,,,,711,19,1072,5
39,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,9,101840,,,Jacobo Chavez,R,,GUA,28.97,103530,1,,Zack Fleishman,R,188,USA,19.79,6-4 4-6 7-6(6),3,R16,,,,,,,,,,,,,,,,,,,,,,569,37
40,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,10,103363,,,Diego Ayala,R,175,USA,20.68,102320,7,,Lazaro Navarro Batles,R,,CUB,25.92,6-3 7-6(1),3,R16,,,,,,,,,,,,,,,,,,,,749,17,471,56
41,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,11,102565,3,,Alexander Waske,R,188,GER,24.76,103334,,,Ronaldo Carvalho,R,,BRA,20.84,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,,440,60,998,6
42,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,12,103399,6,,Carlos Rexach Itoiz,U,,ESP,20.50,102985,,,Gustavo Marcaccio,R,,ARG,22.66,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,,1151,4,756,16
43,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,13,103754,5,,Mark Hilton,L,170,GBR,18.70,103866,,,Luiz Carvalho,R,188,BRA,18.20,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,,616,29,1075,4
44,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,14,101389,4,,Oren Motevassel,L,170,USA,32.35,103525,,,Ivan Miranda,R,175,PER,19.82,6-4 3-6 6-2,3,R16,,,,,,,,,,,,,,,,,,,,346,97,810,13
45,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,15,102544,8,,Pablo Bianchi,R,,URU,24.84,100754,,,Rafael Avalos Brenes,R,,CRC,38.53,6-0 6-0,3,R16,,,,,,,,,,,,,,,,,,,,847,11,,
46,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,16,103204,2,,Hugo Armando,R,183,USA,21.60,103262,,,Marc Canovas,R,,ESP,21.30,7-5 6-4,3,R16,,,,,,,,,,,,,,,,,,,,269,136,711,19
47,2000-M-SA-PAN-01A-2000b,Central America Masters 2,Clay,,S,20000101,17,103363,,,Diego Ayala,R,175,USA,20.68,101840,,,Jacobo Chavez,R,,GUA,28.97,6-2 6-2,3,QF,,,,,,,,,,,,,,,,,,,,749,17,,
