,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1981-243,Perth CH,Grass,,C,19810112,238,101046,,,Eric Wilborts,R,,NED,16.56,100531,,Q,Arnaud Decugis,R,,FRA,22.80,6-3 7-6,3,R64,,,,,,,,,,,,,,,,,,,,309,,,
1,1981-243,Perth CH,Grass,,C,19810112,239,100726,,,Greg Whitecross,R,185,AUS,19.83,100859,,Q,Robert Casey C100,R,188,AUS,18.32,7-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,193,,,
2,1981-243,Perth CH,Grass,,C,19810112,240,110212,,,King Van Nostrand,R,,USA,,108505,,,Wayne Pascoe,R,,AUS,,7-5 4-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,198,
3,1981-243,Perth CH,Grass,,C,19810112,241,107954,,,Paul Van Min,R,,NED,,209013,,,R Brouse,U,,UNK,,6-3 7-5,3,R64,,,,,,,,,,,,,,,,,,,,,,,
4,1981-243,Perth CH,Grass,,C,19810112,242,202970,,,Hank Moravec,U,,USA,,108512,,Q,Wes Horskins,R,,AUS,,6-3 6-0,3,R64,,,,,,,,,,,,,,,,,,,,,,,
5,1981-243,Perth CH,Grass,,C,19810112,243,100868,,,Craig A Miller,R,188,AUS,18.24,106911,,,Eddie Myers,R,,AUS,,6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,,232,,403,
6,1981-243,Perth CH,Grass,,C,19810112,244,100675,,,John Mccurdy,R,188,AUS,20.67,100472,,,Craig Wittus,R,180,USA,23.88,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,324,
7,1981-243,Perth CH,Grass,,C,19810112,245,100923,,,Wally Masur,R,180,AUS,17.67,100561,,,Peter Smylie,R,,AUS,22.26,6-3 6-1,3,R64,,,,,,,,,,,,,,,,,,,,423,,,
8,1981-243,Perth CH,Grass,,C,19810112,246,100265,,,Cliff Letcher,R,,AUS,28.93,209012,,,H Hampson,U,,UNK,,2-6 6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,167,,,
9,1981-243,Perth CH,Grass,,C,19810112,247,106649,,,Brad Langevad,R,,AUS,,100596,,,Bill Cowan,R,,CAN,21.71,6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,403,
10,1981-243,Perth CH,Grass,,C,19810112,248,108053,,Q,Ray Kelly,R,,AUS,,109873,,,John Blizzard,R,,AUS,,6-2 6-1,3,R64,,,,,,,,,,,,,,,,,,,,,,,
11,1981-243,Perth CH,Grass,,C,19810112,249,100699,,,Chris Johnstone,R,175,AUS,20.25,106737,,,Chris Tregonning,R,,AUS,,6-1 6-4,3,R64,,,,,,,,,,,,,,,,,,,,137,,,
12,1981-243,Perth CH,Grass,,C,19810112,250,100680,,,Peter Johnston,L,178,AUS,20.62,100838,,,Steve Wood,R,,AUS,18.55,6-1 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
13,1981-243,Perth CH,Grass,,C,19810112,251,100466,,,Maurice Hunter,R,,USA,23.96,209011,,,Tony Di Francisco,U,,UNK,,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
14,1981-243,Perth CH,Grass,,C,19810112,252,100349,,,Glen Holroyd,R,,USA,26.30,107978,,,Peter Dellavedova,R,,AUS,,6-4 6-1,3,R64,,,,,,,,,,,,,,,,,,,,440,,482,
15,1981-243,Perth CH,Grass,,C,19810112,253,107557,,,Lawrence Hall,R,,AUS,,100678,,,Bill Gilmour,R,,AUS,20.62,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,,403,,335,
16,1981-243,Perth CH,Grass,,C,19810112,254,100550,,,Brad Guan,R,,AUS,22.51,209010,,Q,Peter Mallett,U,,AUS,,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,185,,,
17,1981-243,Perth CH,Grass,,C,19810112,255,100713,,,John Fitzgerald,R,183,AUS,20.04,100557,,,Jai Dilouie,R,,USA,22.34,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,136,,264,
18,1981-243,Perth CH,Grass,,C,19810112,256,100379,,,Craig Edwards,R,175,USA,25.65,109869,,,Ross Olivieri,R,,AUS,,6-0 7-5,3,R64,,,,,,,,,,,,,,,,,,,,365,,,
19,1981-243,Perth CH,Grass,,C,19810112,257,100714,,,Broderick Dyke,L,183,AUS,20.03,108152,,,Roger Grant,R,,AUS,,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
20,1981-243,Perth CH,Grass,,C,19810112,258,100744,,,Peter Doohan,R,190,AUS,19.70,101000,,Q,Carl Limberger,R,170,AUS,16.97,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
21,1981-243,Perth CH,Grass,,C,19810112,259,100407,,,Dale Collings,R,,AUS,25.08,201507,,Q,B Tognolini,R,,UNK,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,211,,,
22,1981-243,Perth CH,Grass,,C,19810112,260,101138,,,Pat Cash,R,183,AUS,15.63,108518,,,William Blaze,R,,USA,,NA,3,R64,,,,,,,,,,,,,,,,,,,,,,,
23,1981-243,Perth CH,Grass,,C,19810112,261,100880,,,Russell Barlow,L,173,AUS,18.07,106610,,,Beejong Sisson,R,,PHI,,7-5 4-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,335,
24,1981-243,Perth CH,Grass,,C,19810112,262,100495,8,,Wayne Hampson,R,183,AUS,23.39,201495,,,John Tregonning,R,,AUS,,7-6 3-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,,175,,,
25,1981-243,Perth CH,Grass,,C,19810112,263,100238,7,,Rick Fisher,R,,USA,29.79,106436,,,A Hall,R,,AUS,,6-7 6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,,215,,,
26,1981-243,Perth CH,Grass,,C,19810112,264,100551,6,,Brad Drewett,L,185,AUS,22.49,201522,,,Ian Chapman,R,,AUS,,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,,115,,,
27,1981-243,Perth CH,Grass,,C,19810112,265,100236,5,,John James,R,183,AUS,29.85,107253,,,J Thorpe,R,,AUS,,6-2 6-0,3,R64,,,,,,,,,,,,,,,,,,,,209,,,
28,1981-243,Perth CH,Grass,,C,19810112,266,100201,4,,Syd Ball,R,188,AUS,30.97,106768,,,Claude England,R,,NZL,,6-0 6-0,3,R64,,,,,,,,,,,,,,,,,,,,146,,403,
29,1981-243,Perth CH,Grass,,C,19810112,267,100440,3,,Eddie Edwards,R,190,RSA,24.53,100564,,,Cary Stansbury,R,196,USA,22.24,6-1 7-6,3,R64,,,,,,,,,,,,,,,,,,,,106,,245,
30,1981-243,Perth CH,Grass,,C,19810112,268,100337,2,,Mark Edmondson,R,185,AUS,26.55,107974,,,Peter Barton,R,,AUS,,6-1 6-0,3,R64,,,,,,,,,,,,,,,,,,,,102,,,
31,1981-243,Perth CH,Grass,,C,19810112,269,100091,1,,Colin Dibley,R,188,AUS,36.31,109870,,,Gary Penberthy,R,,AUS,,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,,95,,,
32,1981-243,Perth CH,Grass,,C,19810112,270,100726,,,Greg Whitecross,R,185,AUS,19.83,100675,,,John Mccurdy,R,188,AUS,20.67,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,193,,,
33,1981-243,Perth CH,Grass,,C,19810112,271,100868,,,Craig A Miller,R,188,AUS,18.24,202970,,,Hank Moravec,U,,USA,,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,232,,,
34,1981-243,Perth CH,Grass,,C,19810112,272,100265,,,Cliff Letcher,R,,AUS,28.93,100379,,,Craig Edwards,R,175,USA,25.65,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,167,,365,
35,1981-243,Perth CH,Grass,,C,19810112,273,100699,,,Chris Johnstone,R,175,AUS,20.25,100744,,,Peter Doohan,R,190,AUS,19.70,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,,137,,,
36,1981-243,Perth CH,Grass,,C,19810112,274,100466,,,Maurice Hunter,R,,USA,23.96,110212,,,King Van Nostrand,R,,USA,,6-4 6-7 9-7,3,R32,,,,,,,,,,,,,,,,,,,,,,,
