,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1982-243,Perth CH,Grass,,C,19820111,238,100871,,,Laurie Warder,R,183,AUS,19.22,106449,,,Adrian Targett,R,,AUS,,6-3 6-0,3,R64,,,,,,,,,,,,,,,,,,,,,,,
1,1982-243,Perth CH,Grass,,C,19820111,239,100473,,,Glenn Petrovic,R,,USA,24.86,100561,,,Peter Smylie,R,,AUS,23.25,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
2,1982-243,Perth CH,Grass,,C,19820111,240,101000,,,Carl Limberger,R,170,AUS,17.97,100880,,,Russell Barlow,L,173,AUS,19.07,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
3,1982-243,Perth CH,Grass,,C,19820111,241,100680,,,Peter Johnston,L,178,AUS,21.61,100768,,,Nick Brown,R,190,GBR,20.36,6-0 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
4,1982-243,Perth CH,Grass,,C,19820111,242,106881,,,Dieter Joehle,R,,GER,,107505,,,Kevin Cook,R,,USA,,7-6 4-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,396,
5,1982-243,Perth CH,Grass,,C,19820111,243,100466,,,Maurice Hunter,R,,USA,24.96,107397,,,John Stoddart,R,,AUS,,6-7 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,309,,,
6,1982-243,Perth CH,Grass,,C,19820111,244,100962,,,Thomas Hogstedt,R,190,SWE,18.31,100678,,,Bill Gilmour,R,,AUS,21.62,6-3 6-0,3,R64,,,,,,,,,,,,,,,,,,,,,,,
7,1982-243,Perth CH,Grass,,C,19820111,245,100563,,,Joel Hoffman,R,,USA,23.24,100834,,,Karsten Schulz,R,183,GER,19.59,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
8,1982-243,Perth CH,Grass,,C,19820111,246,107271,,,Jamie Harty,R,,AUS,,106970,,,Eylon Sinai,R,,ISR,,7-5 7-6,3,R64,,,,,,,,,,,,,,,,,,,,,,,
9,1982-243,Perth CH,Grass,,C,19820111,247,107168,,,Hans Hansson,R,,AUS,,100497,,,Markus Gunthardt,R,178,SUI,24.34,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
10,1982-243,Perth CH,Grass,,C,19820111,248,100849,,,David Graham,R,180,AUS,19.44,106649,,,Brad Langevad,R,,AUS,,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,,,571,
11,1982-243,Perth CH,Grass,,C,19820111,249,107687,,,Mark Friedman,R,,USA,,101070,,,Ed Nagel,R,180,USA,17.29,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,450,,,
12,1982-243,Perth CH,Grass,,C,19820111,250,100859,,,Robert Casey C100,R,188,AUS,19.32,108313,,,Steve Maloney,R,,AUS,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
13,1982-243,Perth CH,Grass,,C,19820111,251,106434,,,A Benson,R,,AUS,,108364,,,Terry Bennett,R,,USA,,7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,,,,571,
14,1982-243,Perth CH,Grass,,C,19820111,252,107758,,,Max Bates,R,,AUS,,108219,,,Scott Marshall,R,,USA,,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,,
15,1982-243,Perth CH,Grass,,C,19820111,253,204673,,,Keith Barton,R,,AUS,,100899,,,Jorgen Windahl,R,183,SWE,18.84,3-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
16,1982-243,Perth CH,Grass,,C,19820111,254,100714,16,,Broderick Dyke,L,183,AUS,21.03,107253,,,J Thorpe,R,,AUS,,6-1 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,618,
17,1982-243,Perth CH,Grass,,C,19820111,255,100923,15,,Wally Masur,R,180,AUS,18.67,108028,,,R Williams,R,,AUS,,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
18,1982-243,Perth CH,Grass,,C,19820111,256,100554,14,,Matthew Mcdonald,R,,USA,23.42,107691,,,Mark Hartnett,L,,AUS,,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,273,,,
19,1982-243,Perth CH,Grass,,C,19820111,257,100868,13,,Craig A Miller,R,188,AUS,19.23,100539,,,Rick Meyers,R,173,USA,23.66,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,415,
20,1982-243,Perth CH,Grass,,C,19820111,258,100464,12,,Warren Maher,R,,AUS,24.99,106665,,,Brian Millar,R,,CAN,,6-1 6-1,3,R64,,,,,,,,,,,,,,,,,,,,,,536,
21,1982-243,Perth CH,Grass,,C,19820111,259,100265,11,,Cliff Letcher,R,,AUS,29.92,101158,,,John Frawley,R,173,AUS,16.52,6-3 6-7 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
22,1982-243,Perth CH,Grass,,C,19820111,260,100575,10,,Andy Andrews,R,185,USA,23.03,108152,,,Roger Grant,R,,AUS,,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,,,,
23,1982-243,Perth CH,Grass,,C,19820111,261,100550,9,,Brad Guan,R,,AUS,23.51,100328,,,Rand Evett,R,,USA,27.87,7-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,,
24,1982-243,Perth CH,Grass,,C,19820111,262,100495,8,,Wayne Hampson,R,183,AUS,24.39,101138,,,Pat Cash,R,183,AUS,16.63,7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,,174,,,
25,1982-243,Perth CH,Grass,,C,19820111,263,100440,7,,Eddie Edwards,R,190,RSA,25.52,108512,,,Wes Horskins,R,,AUS,,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,,,,
26,1982-243,Perth CH,Grass,,C,19820111,264,100201,6,,Syd Ball,R,188,AUS,31.96,100537,,,Mike Brunnberg,R,190,USA,23.69,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
27,1982-243,Perth CH,Grass,,C,19820111,265,100726,5,,Greg Whitecross,R,185,AUS,20.83,106660,,,Brett Edwards,R,,AUS,,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,,161,,361,
28,1982-243,Perth CH,Grass,,C,19820111,266,100407,4,,Dale Collings,R,,AUS,26.07,100675,,,John Mccurdy,R,188,AUS,21.66,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,,,,,
29,1982-243,Perth CH,Grass,,C,19820111,267,100551,3,,Brad Drewett,L,185,AUS,23.48,100722,,,Michael Fancutt,R,190,AUS,20.89,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,361,
30,1982-243,Perth CH,Grass,,C,19820111,268,108439,,,Tony Withers,R,,USA,,100699,2,,Chris Johnstone,R,175,AUS,21.25,6-2 7-6,3,R64,,,,,,,,,,,,,,,,,,,,,,,
31,1982-243,Perth CH,Grass,,C,19820111,269,100713,1,,John Fitzgerald,R,183,AUS,21.04,100441,,,Mark Darby,R,185,USA,25.52,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,,,,431,
32,1982-243,Perth CH,Grass,,C,19820111,270,108439,,,Tony Withers,R,,USA,,204673,,,Keith Barton,R,,AUS,,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
33,1982-243,Perth CH,Grass,,C,19820111,271,100714,16,,Broderick Dyke,L,183,AUS,21.03,107168,,,Hans Hansson,R,,AUS,,6-0 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,,,
34,1982-243,Perth CH,Grass,,C,19820111,272,100923,15,,Wally Masur,R,180,AUS,18.67,100962,,,Thomas Hogstedt,R,190,SWE,18.31,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
35,1982-243,Perth CH,Grass,,C,19820111,273,100554,14,,Matthew Mcdonald,R,,USA,23.42,107687,,,Mark Friedman,R,,USA,,7-6 3-6 8-6,3,R32,,,,,,,,,,,,,,,,,,,,273,,450,
36,1982-243,Perth CH,Grass,,C,19820111,274,100868,13,,Craig A Miller,R,188,AUS,19.23,107271,,,Jamie Harty,R,,AUS,,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,,,
37,1982-243,Perth CH,Grass,,C,19820111,275,100859,,,Robert Casey C100,R,188,AUS,19.32,100464,12,,Warren Maher,R,,AUS,24.99,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
38,1982-243,Perth CH,Grass,,C,19820111,276,100265,11,,Cliff Letcher,R,,AUS,29.92,101000,,,Carl Limberger,R,170,AUS,17.97,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,,,
