,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1974-580,Australian Open,Grass,,G,19731226,1,100087,1,,John Newcombe,R,183,AUS,29.59,100206,,,Kenichi Hirai,R,,JPN,23.77,6-2 6-4,5,R64,,,,,,,,,,,,,,,,,,,,2,,226,
1,1974-580,Australian Open,Grass,,G,19731226,2,100273,,,Kim Warwick,R,183,AUS,21.72,100045,,,John Paish,L,,GBR,33.76,6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,108,,93,
2,1974-580,Australian Open,Grass,,G,19731226,3,100158,,,John Bartlett,R,188,AUS,25.78,100859,,,Robert Casey C100,R,188,AUS,,6-4 6-7 6-4,5,R64,,,,,,,,,,,,,,,,,,,,118,,,
3,1974-580,Australian Open,Grass,,G,19731226,4,100025,14,,Barry Phillips Moore,R,173,AUS,36.47,100003,,,Frank Sedgman,R,,AUS,46.23,6-3 6-4,5,R64,,,,,,,,,,,,,,,,,,,,64,,,
4,1974-580,Australian Open,Grass,,G,19731226,5,100257,8,,Ross Case,R,,AUS,22.15,100111,,,Ray Keldie,R,,AUS,27.94,6-2 6-0,5,R64,,,,,,,,,,,,,,,,,,,,42,,190,
5,1974-580,Australian Open,Grass,,G,19731226,6,100100,,,Tony Roche,L,178,AUS,28.61,100053,,,Colin Stubs,R,,AUS,32.83,7-6 6-2,5,R64,,,,,,,,,,,,,,,,,,,,,,,
6,1974-580,Australian Open,Grass,,G,19731226,7,100271,,,Jean Francois Caujolle,L,,FRA,21.74,100154,,,Peter Kanderal,R,,SUI,25.94,6-4 6-1,5,R64,,,,,,,,,,,,,,,,,,,,,,138,
7,1974-580,Australian Open,Grass,,G,19731226,8,100193,,,Wanaro Ngodrella,R,,FRA,24.19,100047,15,,Bob Carmichael,R,183,AUS,33.48,4-6 6-2 7-5,5,R64,,,,,,,,,,,,,,,,,,,,89,,80,
8,1974-580,Australian Open,Grass,,G,19731226,9,100437,4,,Bjorn Borg,R,180,SWE,17.56,108379,,,Thies Roepcke,R,,GER,,6-7 6-3 6-1,5,R64,,,,,,,,,,,,,,,,,,,,18,,,
9,1974-580,Australian Open,Grass,,G,19731226,10,100147,,,Marcello Lara,R,,MEX,26.23,100277,,,Jacques Thamin,R,,FRA,21.59,6-4 3-6 7-5,5,R64,,,,,,,,,,,,,,,,,,,,102,,186,
10,1974-580,Australian Open,Grass,,G,19731226,11,100093,,,William Brown,R,,USA,28.95,107780,,,Michael Phillips,R,,AUS,,7-5 6-2,5,R64,,,,,,,,,,,,,,,,,,,,224,,,
11,1974-580,Australian Open,Grass,,G,19731226,12,100203,9,,Phil Dent,R,183,AUS,23.86,100325,,,Ulrich Pinner,R,,GER,19.88,6-3 6-3,5,R64,,,,,,,,,,,,,,,,,,,,49,,183,
12,1974-580,Australian Open,Grass,,G,19731226,13,100091,6,,Colin Dibley,R,188,AUS,29.27,100013,,,Neale Fraser,L,,AUS,40.23,2-6 7-6 6-0,5,R64,,,,,,,,,,,,,,,,,,,,39,,,
13,1974-580,Australian Open,Grass,,G,19731226,14,100343,,,John Lloyd,R,178,GBR,19.33,107275,,,Jan Hordijk,R,,NED,,6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,100,,170,
